UIAutomation 1.1.8 (Python 3.6.5, 64 bit)
2018-10-24 14:36:30.355 Function: main, Line: 78 -> Starts, Current Cursor Position: (1122, 468)
                                            ControlType: ListControl    ClassName:     AutomationId:     Rect: (201, 115, 958, 711)    Name:     Handle: 0x0(0)    Depth: 11
                                                ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (221, 135, 365, 241)    Name:     Handle: 0x0(0)    Depth: 12    CurrentIsSelected: False
                                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (201, 115, 958, 716)    Name:     Handle: 0x0(0)    Depth: 11
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 81, 200, 716)    Name:     Handle: 0x0(0)    Depth: 8
                                    ControlType: TreeControl    ClassName:     AutomationId:     Rect: (10, 81, 186, 688)    Name:     Handle: 0x0(0)    Depth: 9
                                        ControlType: TreeItemControl    ClassName:     AutomationId:     Rect: (10, 81, 186, 100)    Name:     Handle: 0x0(0)    Depth: 10    CurrentIsSelected: False
                                        ControlType: TreeItemControl    ClassName:     AutomationId:     Rect: (30, 100, 186, 119)    Name:     Handle: 0x0(0)    Depth: 10    CurrentIsSelected: False
                                        ControlType: TreeItemControl    ClassName:     AutomationId:     Rect: (10, 119, 186, 138)    Name:     Handle: 0x0(0)    Depth: 10    CurrentIsSelected: False
                                        ControlType: TreeItemControl    ClassName:     AutomationId:     Rect: (10, 138, 186, 157)    Name:     Handle: 0x0(0)    Depth: 10    CurrentIsSelected: False
                                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (24, 688, 44, 708)    Name:     Handle: 0x0(0)    Depth: 9
                                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (63, 688, 83, 708)    Name:     Handle: 0x0(0)    Depth: 9
                                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (187, 80, 199, 716)    Name:     Handle: 0x0(0)    Depth: 9
                                        ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (187, 80, 199, 716)    Name:     Handle: 0x0(0)    Depth: 10
                                ControlType: ThumbControl    ClassName:     AutomationId:     Rect: (198, 81, 203, 716)    Name:     Handle: 0x0(0)    Depth: 8
                ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (962, 31, 1920, 716)    Name:     Handle: 0x40183E(4200510)    Depth: 4
                    ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (962, 31, 1920, 716)    Name:     Handle: 0x1319C6(1251782)    Depth: 5
                        ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (962, 646, 1920, 716)    Name:     Handle: 0x2F0DD0(3083728)    Depth: 6
                            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1046, 654, 1066, 674)    Name:     Handle: 0x0(0)    Depth: 7
                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1046, 654, 1066, 674)    Name:     Handle: 0x0(0)    Depth: 8
                            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1083, 654, 1103, 674)    Name:     Handle: 0x0(0)    Depth: 7
                            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1009, 654, 1029, 674)    Name:     Handle: 0x0(0)    Depth: 7
                            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (972, 654, 992, 674)    Name:     Handle: 0x0(0)    Depth: 7
                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1116, 657, 1740, 669)    Name:     Handle: 0x0(0)    Depth: 7
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1116, 662, 1740, 664)    Name:     Handle: 0x0(0)    Depth: 8
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1116, 662, 1121, 664)    Name:     Handle: 0x0(0)    Depth: 8
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1116, 658, 1126, 668)    Name:     Handle: 0x0(0)    Depth: 8
                            ControlType: TextControl    ClassName:     AutomationId:     Rect: (962, 680, 1920, 716)    Name:     Handle: 0x0(0)    Depth: 7
                                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1788, 683, 1808, 703)    Name:     Handle: 0x0(0)    Depth: 8
                                    ControlType: TextControl    ClassName:     AutomationId:     Rect: (1788, 683, 2088, 703)    Name:     Handle: 0x0(0)    Depth: 9
                                    ControlType: MenuItemControl    ClassName:     AutomationId:     Rect: (1788, 683, 1808, 703)    Name:     Handle: 0x0(0)    Depth: 9    CurrentExpandCollapseState: ExpandCollapseState.LeafNode
                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1822, 683, 1842, 703)    Name:     Handle: 0x0(0)    Depth: 8
                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1856, 683, 1876, 703)    Name:     Handle: 0x0(0)    Depth: 8
                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1890, 683, 1910, 703)    Name:     Handle: 0x0(0)    Depth: 8
                                    ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1890, 683, 1910, 703)    Name:     Handle: 0x0(0)    Depth: 9
                            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1759, 653, 1779, 673)    Name:     Handle: 0x0(0)    Depth: 7
                            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1778, 653, 1798, 673)    Name:     Handle: 0x0(0)    Depth: 7
                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (1812, 649, 1910, 677)    Name:     Handle: 0x0(0)    Depth: 7
                                ControlType: TextControl    ClassName:     AutomationId:     Rect: (1812, 649, 1910, 677)    Name: 00:00:00:00    Handle: 0x0(0)    Depth: 8
                            ControlType: TextControl    ClassName:     AutomationId:     Rect: (1106, 657, 1750, 675)    Name:     Handle: 0x0(0)    Depth: 7
                        ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (962, 31, 1920, 646)    Name:     Handle: 0x1119DC(1120732)    Depth: 6
                            ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (962, 31, 1920, 646)    Name:     Handle: 0x1F1810(2037776)    Depth: 7
                                ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (962, 31, 1920, 646)    Name:     Handle: 0x201850(2103376)    Depth: 8
                                    ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (962, 31, 1920, 646)    Name:     Handle: 0x1D1ABC(1907388)    Depth: 9
                                        ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (962, 31, 1920, 646)    Name:     Handle: 0xB1A80(727680)    Depth: 10
        ControlType: PaneControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (0, 720, 1920, 1039)    Name:     Handle: 0x171960(1513824)    Depth: 2
            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 720, 1920, 1039)    Name:     Handle: 0x0(0)    Depth: 3
                ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 783, 1914, 1033)    Name:     Handle: 0x0(0)    Depth: 4
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 945, 1914, 1001)    Name:     Handle: 0x0(0)    Depth: 5
                        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 945, 100, 1001)    Name:     Handle: 0x0(0)    Depth: 6
                            ControlType: TextControl    ClassName:     AutomationId:     Rect: (5, 963, 35, 983)    Name:     Handle: 0x0(0)    Depth: 7
                            ControlType: TextControl    ClassName:     AutomationId:     Rect: (30, 963, 42, 981)    Name: 1    Handle: 0x0(0)    Depth: 7
                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (65, 963, 85, 983)    Name:     Handle: 0x0(0)    Depth: 7
                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (41, 963, 61, 983)    Name:     Handle: 0x0(0)    Depth: 7
                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (0, 945, 98, 946)    Name:     Handle: 0x0(0)    Depth: 6
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 839, 1914, 945)    Name:     Handle: 0x0(0)    Depth: 5
                        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 839, 100, 945)    Name:     Handle: 0x0(0)    Depth: 6
                            ControlType: TextControl    ClassName:     AutomationId:     Rect: (5, 882, 35, 902)    Name:     Handle: 0x0(0)    Depth: 7
                            ControlType: TextControl    ClassName:     AutomationId:     Rect: (30, 882, 42, 900)    Name: 1    Handle: 0x0(0)    Depth: 7
                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (65, 882, 85, 902)    Name:     Handle: 0x0(0)    Depth: 7
                            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (41, 882, 61, 902)    Name:     Handle: 0x0(0)    Depth: 7
                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (0, 839, 98, 840)    Name:     Handle: 0x0(0)    Depth: 6
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 783, 1914, 839)    Name:     Handle: 0x0(0)    Depth: 5
                        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 783, 100, 839)    Name:     Handle: 0x0(0)    Depth: 6
                            ControlType: TextControl    ClassName:     AutomationId:     Rect: (30, 801, 42, 819)    Name:     Handle: 0x0(0)    Depth: 7
                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (0, 783, 98, 784)    Name:     Handle: 0x0(0)    Depth: 6
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 1001, 1914, 1033)    Name:     Handle: 0x0(0)    Depth: 5
                        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (0, 1001, 100, 1033)    Name:     Handle: 0x0(0)    Depth: 6
                            ControlType: TextControl    ClassName:     AutomationId:     Rect: (30, 1007, 42, 1025)    Name:     Handle: 0x0(0)    Depth: 7
                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (0, 1001, 98, 1002)    Name:     Handle: 0x0(0)    Depth: 6
